MAILING_NAME,MAILING_ID,REPORT_ID,INTERVAL,ORIGINAL_HARD_BOUNCE,FORWARD_HARD_BOUNCE,ORIGINAL_SOFT_BOUNCE,FORWARD_SOFT_BOUNCE,ORIGINAL_GROSS_FORWARD,FORWARD_GROSS_FORWARD,ORIGINAL_GROSS_CONVERSION,FORWARD_GROSS_CONVERSION,OPT_IN,OPT_OUT,ORIGINAL_GROSS_CLICKSTREAM,FORWARD_GROSS_CLICKSTREAM,ORIGINAL_GROSS_CLICK_ALL,FORWARD_GROSS_CLICK_ALL,ORIGINAL_GROSS_DOCUMENT,FORWARD_GROSS_DOCUMENT,ORIGINAL_GROSS_MEDIA,FORWARD_GROSS_MEDIA,ORIGINAL_GROSS_OPEN_HTML,FORWARD_GROSS_OPEN_HTML,ORIGINAL_GROSS_OPEN_AOL,FORWARD_GROSS_OPEN_AOL,ORIGINAL_GROSS_OPEN_TEXT,FORWARD_GROSS_OPEN_TEXT,ORIGINAL_GROSS_OPEN_WEB,FORWARD_GROSS_OPEN_WEB,ORIGINAL_GROSS_CLICK_HTML,FORWARD_GROSS_CLICK_HTML,ORIGINAL_GROSS_CLICK_AOL,FORWARD_GROSS_CLICK_AOL,ORIGINAL_GROSS_CLICK_TEXT,FORWARD_GROSS_CLICK_TEXT,ORIGINAL_GROSS_CLICK_WEB,FORWARD_GROSS_CLICK_WEB
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 02:45:00.0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 03:00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 03:15:00.0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 06:00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 03:45:00.0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 04:00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 04:15:00.0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 04:30:00.0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 04:45:00.0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 05:00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
